Node;Continent;Country;Geographical region;node_source;lat;lon;coordinates_source
NA-USA-RM;North America;United States;EIA NEMS Region RFCM;Brinkerink & Deane 2015;43.6211955;-84.6824346;"OSM ""Michigan"""
NA-USA-RW;North America;United States;EIA NEMS Region RFCW;Brinkerink & Deane 2015;40.2253569;-82.6881395;"OSM ""Ohio"""
NA-USA-SA;North America;United States;EIA NEMS Region SRDA;Brinkerink & Deane 2015;35.2048883;-92.4479108;"OSM ""Arkansas"""
NA-USA-SC;North America;United States;EIA NEMS Region SRCE;Brinkerink & Deane 2015;35.7730076;-86.2820081;"OSM ""Tennessee"""
NA-USA-SE;North America;United States;EIA NEMS Region SRSE;Brinkerink & Deane 2015;33.2588817;-86.8295337;"OSM ""Alabama"""
NA-USA-SN;North America;United States;EIA NEMS Region SPNO;Brinkerink & Deane 2015;38.27312;-98.5821872;"OSM ""Kansas"""
NA-USA-SS;North America;United States;EIA NEMS Region SPSO;Brinkerink & Deane 2015;34.9550817;-97.2684063;"OSM ""Oklahoma"""
NA-USA-SV;North America;United States;EIA NEMS Region SRVC;Brinkerink & Deane 2015;35.6729639;-79.0392919;"OSM ""North Carolina"""
NA-USA-SW;North America;United States;EIA NEMS Region SRGW;Brinkerink & Deane 2015;38.7604815;-92.5617875;"OSM ""Missouri"""
OC-ATA;Oceania;Antarctica;Antarctica;Brinkerink & Deane 2015;-79.4063075;0.3149312;OSM (Nominatim)
OC-AUS-NT;Oceania;Australia;Northern Territory;Brinkerink & Deane 2015;-19.8516101;133.2303375;OSM (Nominatim)
OC-AUS-QL;Oceania;Australia;Queensland;Brinkerink & Deane 2015;-22.1646782;144.5844903;OSM (Nominatim)
OC-AUS-SA;Oceania;Australia;South Australia;Brinkerink & Deane 2015;-30.5343665;135.6301212;OSM (Nominatim)
OC-AUS-SW;Oceania;Australia;New South Wales;Brinkerink & Deane 2015;-31.8759835;147.2869493;OSM (Nominatim)
OC-AUS-TA;Oceania;Australia;Tasmania;Brinkerink & Deane 2015;-42.035067;146.6366887;OSM (Nominatim)
OC-AUS-VI;Oceania;Australia;Victoria;Brinkerink & Deane 2015;-36.5986096;144.6780052;OSM (Nominatim)
OC-AUS-WA;Oceania;Australia;Western Australia;Brinkerink & Deane 2015;-25.2303005;121.0187246;OSM (Nominatim)
OC-FJI;Oceania;Fiji;Fiji;Brinkerink & Deane 2015;-17.4466602926;163.732973147;ILO
