INFO [2024-08-14 16:35:19] [LOAD] - Adding AF-LBR load data...
INFO [2024-08-14 16:35:20] [LOAD] - Adding AF-LBY load data...
INFO [2024-08-14 16:35:22] [LOAD] - Adding AF-LSO load data...
INFO [2024-08-14 16:35:24] [LOAD] - Adding AF-MAR load data...
INFO [2024-08-14 16:35:25] [LOAD] - Adding AF-MDG load data...
INFO [2024-08-14 16:35:27] [LOAD] - Adding AF-MLI load data...
INFO [2024-08-14 16:35:28] [LOAD] - Adding AF-MOZ load data...
INFO [2024-08-14 16:35:29] [LOAD] - Adding AF-MRT load data...
INFO [2024-08-14 16:35:31] [LOAD] - Adding AF-MUS load data...
INFO [2024-08-14 16:35:32] [LOAD] - Adding AF-MWI load data...
INFO [2024-08-14 16:35:34] [LOAD] - Adding AF-NAM load data...
INFO [2024-08-14 16:35:36] [LOAD] - Adding AF-NER load data...
INFO [2024-08-14 16:35:37] [LOAD] - Adding AF-NGA load data...
INFO [2024-08-14 16:35:39] [LOAD] - Adding AF-RWA load data...
INFO [2024-08-14 16:35:40] [LOAD] - Adding AF-SDN load data...
INFO [2024-08-14 16:35:42] [LOAD] - Adding AF-SEN load data...
INFO [2024-08-14 16:35:43] [LOAD] - Adding AF-SLE load data...
INFO [2024-08-14 16:35:45] [LOAD] - Adding AF-SWZ load data...
INFO [2024-08-14 16:35:47] [LOAD] - Adding AF-TGO load data...
INFO [2024-08-14 16:35:48] [LOAD] - Adding AF-TUN load data...
INFO [2024-08-14 16:35:50] [LOAD] - Adding AF-TZA load data...
INFO [2024-08-14 16:35:52] [LOAD] - Adding AF-UGA load data...
INFO [2024-08-14 16:35:54] [LOAD] - Adding AF-ZAF load data...
INFO [2024-08-14 16:35:55] [LOAD] - Adding AF-ZMB load data...
INFO [2024-08-14 16:35:57] [LOAD] - Adding AF-ZWE load data...
INFO [2024-08-14 16:35:59] [LOAD] - Adding AS-AFG load data...
INFO [2024-08-14 16:36:00] [LOAD] - Adding AS-ARE load data...
INFO [2024-08-14 16:36:02] [LOAD] - Adding AS-BGD load data...
INFO [2024-08-14 16:36:04] [LOAD] - Adding AS-BHR load data...
INFO [2024-08-14 16:36:05] [LOAD] - Adding AS-BRN load data...
INFO [2024-08-14 16:36:07] [LOAD] - Adding AS-BTN load data...
INFO [2024-08-14 16:36:09] [LOAD] - Adding AS-CHN-AN load data...
INFO [2024-08-14 16:36:11] [LOAD] - Adding AS-CHN-BE load data...
INFO [2024-08-14 16:36:13] [LOAD] - Adding AS-CHN-CH load data...
INFO [2024-08-14 16:36:15] [LOAD] - Adding AS-CHN-EM load data...
INFO [2024-08-14 16:36:16] [LOAD] - Adding AS-CHN-FU load data...
INFO [2024-08-14 16:36:18] [LOAD] - Adding AS-CHN-GA load data...
INFO [2024-08-14 16:36:21] [LOAD] - Adding AS-CHN-GD load data...
INFO [2024-08-14 16:36:24] [LOAD] - Adding AS-CHN-GU load data...
INFO [2024-08-14 16:36:26] [LOAD] - Adding AS-CHN-GX load data...
INFO [2024-08-14 16:36:28] [LOAD] - Adding AS-CHN-HA load data...
INFO [2024-08-14 16:36:29] [LOAD] - Adding AS-CHN-HB load data...
INFO [2024-08-14 16:36:31] [LOAD] - Adding AS-CHN-HE load data...
INFO [2024-08-14 16:36:33] [LOAD] - Adding AS-CHN-HJ load data...
INFO [2024-08-14 16:36:35] [LOAD] - Adding AS-CHN-HK load data...
INFO [2024-08-14 16:36:37] [LOAD] - Adding AS-CHN-HN load data...
INFO [2024-08-14 16:36:38] [LOAD] - Adding AS-CHN-HU load data...
INFO [2024-08-14 16:36:40] [LOAD] - Adding AS-CHN-JI load data...
INFO [2024-08-14 16:36:42] [LOAD] - Adding AS-CHN-JS load data...
INFO [2024-08-14 16:36:43] [LOAD] - Adding AS-CHN-JX load data...
INFO [2024-08-14 16:36:45] [LOAD] - Adding AS-CHN-LI load data...
INFO [2024-08-14 16:36:46] [LOAD] - Adding AS-CHN-MA load data...
INFO [2024-08-14 16:36:48] [LOAD] - Adding AS-CHN-NI load data...
INFO [2024-08-14 16:36:50] [LOAD] - Adding AS-CHN-QI load data...
INFO [2024-08-14 16:36:51] [LOAD] - Adding AS-CHN-SC load data...
INFO [2024-08-14 16:36:53] [LOAD] - Adding AS-CHN-SD load data...
INFO [2024-08-14 16:36:55] [LOAD] - Adding AS-CHN-SH load data...
INFO [2024-08-14 16:36:58] [LOAD] - Adding AS-CHN-SI load data...
INFO [2024-08-14 16:37:00] [LOAD] - Adding AS-CHN-SX load data...
INFO [2024-08-14 16:37:01] [LOAD] - Adding AS-CHN-TI load data...
INFO [2024-08-14 16:37:03] [LOAD] - Adding AS-CHN-TJ load data...
INFO [2024-08-14 16:37:05] [LOAD] - Adding AS-CHN-WM load data...
INFO [2024-08-14 16:37:06] [LOAD] - Adding AS-CHN-XI load data...
INFO [2024-08-14 16:37:08] [LOAD] - Adding AS-CHN-YU load data...
INFO [2024-08-14 16:37:09] [LOAD] - Adding AS-CHN-ZH load data...
INFO [2024-08-14 16:37:11] [LOAD] - Adding AS-IDN load data...
INFO [2024-08-14 16:37:12] [LOAD] - Adding AS-IND-EA load data...
INFO [2024-08-14 16:37:14] [LOAD] - Adding AS-IND-NE load data...
